	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde	Non/dégoût/profond
Oui/balles/plomb	1.0	0.2999812066555023	0.49100545048713684	0.44335031509399414	0.5262986421585083	0.49587851762771606	0.27767881751060486	0.1989271342754364	0.2206811159849167	0.08914365619421005	0.2437640279531479	-0.06748940795660019	0.2283243089914322	0.08544288575649261	-0.07516396790742874	0.1061345562338829	0.0020931053441017866	0.22075282037258148	0.21456459164619446	-0.0034792337100952864	0.09719374030828476	-0.20104971528053284	
Oui/lamelles/plomb	0.2999812066555023	1.0	0.06405269354581833	0.41624853014945984	0.23842304944992065	0.39081162214279175	0.1226433590054512	0.17991966009140015	0.11125596612691879	0.2592613697052002	-0.008543956093490124	0.07650580257177353	-0.0807400494813919	0.20410726964473724	0.00724251801148057	-0.0028756028041243553	0.025911806151270866	0.11643142253160477	-0.0023101717233657837	0.055014029145240784	0.10370878130197525	0.08105944097042084	
Oui/balle/plomb	0.49100545048713684	0.06405269354581833	1.0	0.1469835489988327	0.4117618203163147	0.27742618322372437	0.3827940821647644	0.5710167288780212	0.3793751299381256	0.3259192705154419	0.43530896306037903	-0.02033672109246254	0.13120222091674805	0.04641322046518326	0.06316585093736649	0.11738471686840057	0.1089271754026413	0.09964999556541443	0.12472814321517944	-0.0725569799542427	0.1444324105978012	-0.07402406632900238	
Oui/noyaux/plomb	0.44335031509399414	0.41624853014945984	0.1469835489988327	1.0	0.4304053485393524	0.40717464685440063	0.21316075325012207	0.22318105399608612	0.057855602353811264	0.24069488048553467	0.04416812211275101	0.0953899696469307	0.04903804883360863	0.12243787199258804	-0.0018867668695747852	-0.06291480362415314	-0.08535519987344742	0.14247873425483704	-0.014376472681760788	-0.0043121203780174255	0.03863342106342316	-0.06317848712205887	
Oui/cartouches/plomb	0.5262986421585083	0.23842304944992065	0.4117618203163147	0.4304053485393524	1.0	0.49652889370918274	0.24289260804653168	0.3131556212902069	0.10916800796985626	0.14794564247131348	0.10254478454589844	0.030934495851397514	0.03499385342001915	0.04406097158789635	-0.01800549402832985	-0.03475962206721306	-0.07897650450468063	0.03839563950896263	0.017828956246376038	-0.04362542927265167	0.011331160552799702	-0.03423401713371277	
Oui/billes/plomb	0.49587851762771606	0.39081162214279175	0.27742618322372437	0.40717464685440063	0.49652889370918274	1.0	0.1802200973033905	0.4562508165836334	0.1711246520280838	0.1963711678981781	0.04359962046146393	0.06408772617578506	-0.039275672286748886	0.143744096159935	0.018061993643641472	0.11072815954685211	-0.010263266041874886	0.1213657408952713	0.039740189909935	0.059397801756858826	0.07365452498197556	-0.021789204329252243	
Oui/boulet/plomb	0.27767881751060486	0.1226433590054512	0.3827940821647644	0.21316075325012207	0.24289260804653168	0.1802200973033905	1.0	0.36889809370040894	0.30329975485801697	0.1826740801334381	0.5004228353500366	0.1558336615562439	0.04406118020415306	0.02239629626274109	0.15813027322292328	0.08758657425642014	0.02700168266892433	0.06937505304813385	0.05309077724814415	0.013995897956192493	0.003220693441107869	-0.04175740107893944	
Oui/bille/plomb	0.1989271342754364	0.17991966009140015	0.5710167288780212	0.22318105399608612	0.3131556212902069	0.4562508165836334	0.36889809370040894	1.0	0.3393459916114807	0.5014010071754456	0.28132370114326477	0.08746999502182007	-0.02611931599676609	0.11906392127275467	0.12163387984037399	0.14647121727466583	0.12676334381103516	0.038059160113334656	-0.03274698927998543	-0.02681424282491207	0.11687149107456207	0.10022652894258499	
Oui/plaque/plomb	0.2206811159849167	0.11125596612691879	0.3793751299381256	0.057855602353811264	0.10916800796985626	0.1711246520280838	0.30329975485801697	0.3393459916114807	1.0	0.20628972351551056	0.3512423634529114	-0.01440362073481083	0.04105736315250397	-0.009237252175807953	0.11231734603643417	0.10935837775468826	0.11449868232011795	-0.002146840328350663	0.09371527284383774	0.08043042570352554	0.11196750402450562	-0.052164725959300995	
Oui/coupole/plomb	0.08914365619421005	0.2592613697052002	0.3259192705154419	0.24069488048553467	0.14794564247131348	0.1963711678981781	0.1826740801334381	0.5014010071754456	0.20628972351551056	1.0	0.18486452102661133	0.09066947549581528	0.024173395708203316	0.18703803420066833	0.10859806090593338	0.030649453401565552	0.08372987806797028	0.06164206564426422	-0.027702510356903076	-0.02819286473095417	0.1472550332546234	0.12682725489139557	
Non/soleil/plomb	0.2437640279531479	-0.008543956093490124	0.43530896306037903	0.04416812211275101	0.10254478454589844	0.04359962046146393	0.5004228353500366	0.28132370114326477	0.3512423634529114	0.18486452102661133	1.0	0.033062707632780075	0.16545358300209045	-0.01887892372906208	0.13391494750976562	0.14167176187038422	0.08122023940086365	0.03179098665714264	0.11317963153123856	0.023748472332954407	0.038823433220386505	-0.03665398061275482	
Oui/fossé/profond	-0.06748940795660019	0.07650580257177353	-0.02033672109246254	0.0953899696469307	0.030934495851397514	0.06408772617578506	0.1558336615562439	0.08746999502182007	-0.01440362073481083	0.09066947549581528	0.033062707632780075	1.0	0.14236044883728027	0.34329041838645935	0.5274454951286316	0.29500725865364075	0.17319516837596893	0.3633032739162445	0.20328770577907562	0.2918913960456848	0.1360785961151123	0.2748847007751465	
Oui/galeries/profondes	0.2283243089914322	-0.0807400494813919	0.13120222091674805	0.04903804883360863	0.03499385342001915	-0.039275672286748886	0.04406118020415306	-0.02611931599676609	0.04105736315250397	0.024173395708203316	0.16545358300209045	0.14236044883728027	1.0	0.1842719316482544	0.1214938536286354	0.19501297175884247	0.17920072376728058	0.3056368827819824	0.4254399240016937	0.20824696123600006	0.42512246966362	0.18217971920967102	
Oui/gorges/profondes	0.08544288575649261	0.20410726964473724	0.04641322046518326	0.12243787199258804	0.04406097158789635	0.143744096159935	0.02239629626274109	0.11906392127275467	-0.009237252175807953	0.18703803420066833	-0.01887892372906208	0.34329041838645935	0.1842719316482544	1.0	0.2934662401676178	0.47763630747795105	0.35175228118896484	0.4998602867126465	0.47574809193611145	0.29799750447273254	0.30822497606277466	0.2168523073196411	
Oui/puits/profond	-0.07516396790742874	0.00724251801148057	0.06316585093736649	-0.0018867668695747852	-0.01800549402832985	0.018061993643641472	0.15813027322292328	0.12163387984037399	0.11231734603643417	0.10859806090593338	0.13391494750976562	0.5274454951286316	0.1214938536286354	0.2934662401676178	1.0	0.3506484031677246	0.27234992384910583	0.2790316045284271	0.2233433872461319	0.3085934817790985	0.1978943943977356	0.2723391354084015	
Oui/fosse/profonde	0.1061345562338829	-0.0028756028041243553	0.11738471686840057	-0.06291480362415314	-0.03475962206721306	0.11072815954685211	0.08758657425642014	0.14647121727466583	0.10935837775468826	0.030649453401565552	0.14167176187038422	0.29500725865364075	0.19501297175884247	0.47763630747795105	0.3506484031677246	1.0	0.31583818793296814	0.4938904941082001	0.5392146706581116	0.3278810381889343	0.24496643245220184	0.12154123187065125	
Oui/grotte/profonde	0.0020931053441017866	0.025911806151270866	0.1089271754026413	-0.08535519987344742	-0.07897650450468063	-0.010263266041874886	0.02700168266892433	0.12676334381103516	0.11449868232011795	0.08372987806797028	0.08122023940086365	0.17319516837596893	0.17920072376728058	0.35175228118896484	0.27234992384910583	0.31583818793296814	1.0	0.45325806736946106	0.48055750131607056	0.3890925347805023	0.3337087333202362	0.06768202781677246	
Oui/faille/profonde	0.22075282037258148	0.11643142253160477	0.09964999556541443	0.14247873425483704	0.03839563950896263	0.1213657408952713	0.06937505304813385	0.038059160113334656	-0.002146840328350663	0.06164206564426422	0.03179098665714264	0.3633032739162445	0.3056368827819824	0.4998602867126465	0.2790316045284271	0.4938904941082001	0.45325806736946106	1.0	0.5610595345497131	0.38946861028671265	0.35472625494003296	0.10286813229322433	
Oui/caverne/profonde	0.21456459164619446	-0.0023101717233657837	0.12472814321517944	-0.014376472681760788	0.017828956246376038	0.039740189909935	0.05309077724814415	-0.03274698927998543	0.09371527284383774	-0.027702510356903076	0.11317963153123856	0.20328770577907562	0.4254399240016937	0.47574809193611145	0.2233433872461319	0.5392146706581116	0.48055750131607056	0.5610595345497131	1.0	0.4223959445953369	0.4380784034729004	0.041937991976737976	
Oui/forêt/profonde	-0.0034792337100952864	0.055014029145240784	-0.0725569799542427	-0.0043121203780174255	-0.04362542927265167	0.059397801756858826	0.013995897956192493	-0.02681424282491207	0.08043042570352554	-0.02819286473095417	0.023748472332954407	0.2918913960456848	0.20824696123600006	0.29799750447273254	0.3085934817790985	0.3278810381889343	0.3890925347805023	0.38946861028671265	0.4223959445953369	1.0	0.1942444145679474	0.05189201235771179	
Oui/cavité/profonde	0.09719374030828476	0.10370878130197525	0.1444324105978012	0.03863342106342316	0.011331160552799702	0.07365452498197556	0.003220693441107869	0.11687149107456207	0.11196750402450562	0.1472550332546234	0.038823433220386505	0.1360785961151123	0.42512246966362	0.30822497606277466	0.1978943943977356	0.24496643245220184	0.3337087333202362	0.35472625494003296	0.4380784034729004	0.1942444145679474	1.0	0.264880508184433	
Non/dégoût/profond	-0.20104971528053284	0.08105944097042084	-0.07402406632900238	-0.06317848712205887	-0.03423401713371277	-0.021789204329252243	-0.04175740107893944	0.10022652894258499	-0.052164725959300995	0.12682725489139557	-0.03665398061275482	0.2748847007751465	0.18217971920967102	0.2168523073196411	0.2723391354084015	0.12154123187065125	0.06768202781677246	0.10286813229322433	0.041937991976737976	0.05189201235771179	0.264880508184433	1.0	