	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/dégoût/profond	Oui/fossé/profond	Oui/galeries/profondes	Oui/gorges/profondes	Oui/puits/profond	Oui/fosse/profonde	Oui/grotte/profonde	Oui/faille/profonde	Oui/caverne/profonde	Oui/forêt/profonde	Oui/cavité/profonde
Non/soleil/plomb	1.0	0.4688561260700226	0.6168219447135925	0.43644386529922485	0.5359863638877869	0.5759826302528381	0.4988800585269928	0.5442779064178467	0.417208194732666	0.5425754189491272	0.6126748323440552	0.03608446195721626	-0.003573094494640827	-0.06422516703605652	0.0030547580681741238	-0.1090356782078743	-0.1626254767179489	0.0009371244814246893	-0.018091613426804543	-0.01125896256417036	0.07567552477121353	-0.0726081132888794	
Oui/balles/plomb	0.4688561260700226	1.0	0.6485990881919861	0.797681450843811	0.5739141702651978	0.7508078217506409	0.7460291385650635	0.6104493141174316	0.5875571966171265	0.6061326861381531	0.5627549290657043	0.1053229346871376	0.12056228518486023	-0.03776805102825165	0.04441677778959274	-0.004156053997576237	0.035615287721157074	-0.0156840980052948	0.05104034021496773	-0.020361170172691345	0.03206460922956467	0.014707691967487335	
Oui/lamelles/plomb	0.6168219447135925	0.6485990881919861	1.0	0.5238829255104065	0.7241421937942505	0.7687433958053589	0.7394304275512695	0.610675036907196	0.5824083685874939	0.7404935359954834	0.6914305090904236	-0.04151256009936333	0.011740821413695812	-0.0013841373147442937	0.09129074960947037	-0.09164080768823624	-0.05867545306682587	0.020229261368513107	-0.021464627236127853	-0.026245804503560066	0.0032541032414883375	0.09013001620769501	
Oui/balle/plomb	0.43644386529922485	0.797681450843811	0.5238829255104065	1.0	0.4823836386203766	0.5887075066566467	0.6113089323043823	0.6016063690185547	0.693930447101593	0.5993061065673828	0.5372174382209778	0.021746430546045303	0.10703911632299423	-0.03836522251367569	0.046984441578388214	-0.057791922241449356	0.04099138081073761	0.01029247511178255	0.05154796317219734	-0.030229896306991577	0.1027979627251625	0.10908330231904984	
Oui/noyaux/plomb	0.5359863638877869	0.5739141702651978	0.7241421937942505	0.4823836386203766	1.0	0.6467024087905884	0.6673455834388733	0.5795063972473145	0.5030853748321533	0.5828886032104492	0.5806174874305725	-0.03211316466331482	0.028638046234846115	-0.004695337265729904	0.022481629624962807	0.023480786010622978	-0.08974045515060425	-0.022008342668414116	-0.00790321547538042	-0.0347166582942009	-0.009253066964447498	0.06439134478569031	
Oui/cartouches/plomb	0.5759826302528381	0.7508078217506409	0.7687433958053589	0.5887075066566467	0.6467024087905884	1.0	0.7505487203598022	0.6704309582710266	0.5970760583877563	0.7013522982597351	0.6917374730110168	0.06810904294252396	0.02629517950117588	-0.0055766720324754715	-0.009825536049902439	-0.05310305953025818	-0.0635867789387703	-0.03560445457696915	-0.05572088062763214	-0.04673934355378151	-0.0790553018450737	-0.055957186967134476	
Oui/billes/plomb	0.4988800585269928	0.7460291385650635	0.7394304275512695	0.6113089323043823	0.6673455834388733	0.7505487203598022	1.0	0.5828112363815308	0.7775304913520813	0.609764575958252	0.5928012728691101	-0.008084474131464958	0.01100271288305521	-0.028815055266022682	0.07261638343334198	0.003961141686886549	-0.03661734238266945	0.031081290915608406	-0.014066627249121666	0.02717524953186512	0.05355143919587135	0.09319539368152618	
Oui/boulet/plomb	0.5442779064178467	0.6104493141174316	0.610675036907196	0.6016063690185547	0.5795063972473145	0.6704309582710266	0.5828112363815308	1.0	0.5950499176979065	0.6189597249031067	0.5997651815414429	0.05855017527937889	0.08017384260892868	0.0006314183119684458	-0.03688348829746246	-0.12100805342197418	-0.06088009849190712	-0.05277310684323311	-0.006438175681978464	-0.00553932273760438	-0.017976420000195503	-0.07761440426111221	
Oui/bille/plomb	0.417208194732666	0.5875571966171265	0.5824083685874939	0.693930447101593	0.5030853748321533	0.5970760583877563	0.7775304913520813	0.5950499176979065	1.0	0.5889416337013245	0.5460404753684998	0.01616687700152397	0.008032262325286865	-0.023468848317861557	0.08467136323451996	-0.043332070112228394	-0.005864363629370928	0.026177072897553444	-0.004682756029069424	0.014624148607254028	0.06873684376478195	0.13818511366844177	
Oui/plaque/plomb	0.5425754189491272	0.6061326861381531	0.7404935359954834	0.5993061065673828	0.5828886032104492	0.7013522982597351	0.609764575958252	0.6189597249031067	0.5889416337013245	1.0	0.7048856019973755	0.009947997517883778	0.04590550810098648	-0.009049632586538792	0.026206187903881073	-0.04539240524172783	0.013539629988372326	0.01916750892996788	0.05385224148631096	-0.03621445223689079	0.028769895434379578	0.11788100004196167	
Oui/coupole/plomb	0.6126748323440552	0.5627549290657043	0.6914305090904236	0.5372174382209778	0.5806174874305725	0.6917374730110168	0.5928012728691101	0.5997651815414429	0.5460404753684998	0.7048856019973755	1.0	-0.00042574963299557567	0.046153437346220016	0.08274025470018387	0.026810932904481888	0.005244315601885319	-0.021151479333639145	0.06715880334377289	-0.06586963683366776	0.05006611719727516	-0.04104328528046608	0.09004368633031845	
Non/dégoût/profond	0.03608446195721626	0.1053229346871376	-0.04151256009936333	0.021746430546045303	-0.03211316466331482	0.06810904294252396	-0.008084474131464958	0.05855017527937889	0.01616687700152397	0.009947997517883778	-0.00042574963299557567	1.0	0.20840859413146973	0.11631245166063309	0.015091829933226109	0.07309406995773315	0.03061940334737301	-0.061668142676353455	0.05502459779381752	0.032470379024744034	0.007658144924789667	-0.061619844287633896	
Oui/fossé/profond	-0.003573094494640827	0.12056228518486023	0.011740821413695812	0.10703911632299423	0.028638046234846115	0.02629517950117588	0.01100271288305521	0.08017384260892868	0.008032262325286865	0.04590550810098648	0.046153437346220016	0.20840859413146973	1.0	0.19372904300689697	0.16154298186302185	0.35280340909957886	0.2838362753391266	0.13830478489398956	0.1635909378528595	0.1803305447101593	0.13726983964443207	0.14419415593147278	
Oui/galeries/profondes	-0.06422516703605652	-0.03776805102825165	-0.0013841373147442937	-0.03836522251367569	-0.004695337265729904	-0.0055766720324754715	-0.028815055266022682	0.0006314183119684458	-0.023468848317861557	-0.009049632586538792	0.08274025470018387	0.11631245166063309	0.19372904300689697	1.0	0.20664843916893005	0.3755818009376526	0.24174723029136658	0.3017221689224243	0.1599249690771103	0.36349841952323914	0.2155466228723526	0.2651350200176239	
Oui/gorges/profondes	0.0030547580681741238	0.04441677778959274	0.09129074960947037	0.046984441578388214	0.022481629624962807	-0.009825536049902439	0.07261638343334198	-0.03688348829746246	0.08467136323451996	0.026206187903881073	0.026810932904481888	0.015091829933226109	0.16154298186302185	0.20664843916893005	1.0	0.19859856367111206	0.2049245834350586	0.41619935631752014	0.16431254148483276	0.34792667627334595	0.27395063638687134	0.3245299160480499	
Oui/puits/profond	-0.1090356782078743	-0.004156053997576237	-0.09164080768823624	-0.057791922241449356	0.023480786010622978	-0.05310305953025818	0.003961141686886549	-0.12100805342197418	-0.043332070112228394	-0.04539240524172783	0.005244315601885319	0.07309406995773315	0.35280340909957886	0.3755818009376526	0.19859856367111206	1.0	0.47771602869033813	0.4394792318344116	0.13648231327533722	0.3768325746059418	0.2741016149520874	0.3642333149909973	
Oui/fosse/profonde	-0.1626254767179489	0.035615287721157074	-0.05867545306682587	0.04099138081073761	-0.08974045515060425	-0.0635867789387703	-0.03661734238266945	-0.06088009849190712	-0.005864363629370928	0.013539629988372326	-0.021151479333639145	0.03061940334737301	0.2838362753391266	0.24174723029136658	0.2049245834350586	0.47771602869033813	1.0	0.3959825038909912	0.21924364566802979	0.364000141620636	0.2296065390110016	0.4285578429698944	
Oui/grotte/profonde	0.0009371244814246893	-0.0156840980052948	0.020229261368513107	0.01029247511178255	-0.022008342668414116	-0.03560445457696915	0.031081290915608406	-0.05277310684323311	0.026177072897553444	0.01916750892996788	0.06715880334377289	-0.061668142676353455	0.13830478489398956	0.3017221689224243	0.41619935631752014	0.4394792318344116	0.3959825038909912	1.0	0.2538463771343231	0.7895434498786926	0.4569368064403534	0.6136435866355896	
Oui/faille/profonde	-0.018091613426804543	0.05104034021496773	-0.021464627236127853	0.05154796317219734	-0.00790321547538042	-0.05572088062763214	-0.014066627249121666	-0.006438175681978464	-0.004682756029069424	0.05385224148631096	-0.06586963683366776	0.05502459779381752	0.1635909378528595	0.1599249690771103	0.16431254148483276	0.13648231327533722	0.21924364566802979	0.2538463771343231	1.0	0.2930101156234741	0.12421157956123352	0.20825086534023285	
Oui/caverne/profonde	-0.01125896256417036	-0.020361170172691345	-0.026245804503560066	-0.030229896306991577	-0.0347166582942009	-0.04673934355378151	0.02717524953186512	-0.00553932273760438	0.014624148607254028	-0.03621445223689079	0.05006611719727516	0.032470379024744034	0.1803305447101593	0.36349841952323914	0.34792667627334595	0.3768325746059418	0.364000141620636	0.7895434498786926	0.2930101156234741	1.0	0.406861275434494	0.531657874584198	
Oui/forêt/profonde	0.07567552477121353	0.03206460922956467	0.0032541032414883375	0.1027979627251625	-0.009253066964447498	-0.0790553018450737	0.05355143919587135	-0.017976420000195503	0.06873684376478195	0.028769895434379578	-0.04104328528046608	0.007658144924789667	0.13726983964443207	0.2155466228723526	0.27395063638687134	0.2741016149520874	0.2296065390110016	0.4569368064403534	0.12421157956123352	0.406861275434494	1.0	0.31474190950393677	
Oui/cavité/profonde	-0.0726081132888794	0.014707691967487335	0.09013001620769501	0.10908330231904984	0.06439134478569031	-0.055957186967134476	0.09319539368152618	-0.07761440426111221	0.13818511366844177	0.11788100004196167	0.09004368633031845	-0.061619844287633896	0.14419415593147278	0.2651350200176239	0.3245299160480499	0.3642333149909973	0.4285578429698944	0.6136435866355896	0.20825086534023285	0.531657874584198	0.31474190950393677	1.0	