	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colère/saine	Non/colères/saines	Non/colères/saines	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Non/soleil/plomb	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb
Non/colère/saine	1.0	0.6803779602050781	0.5601814985275269	0.8274226188659668	0.7917296290397644	0.8302611708641052	0.7759020924568176	0.7312056422233582	0.19548742473125458	0.40089595317840576	0.7052539587020874	0.7638496160507202	0.6160367727279663	0.6064441204071045	0.7233644127845764	0.21929866075515747	0.26664936542510986	0.6566130518913269	0.6830673217773438	0.14837084710597992	0.3326537311077118	0.3614770472049713	0.31650835275650024	0.3568727970123291	0.281731516122818	0.31635788083076477	0.3057117760181427	0.3699398338794708	0.19177895784378052	0.3458672761917114	0.2546961009502411	0.05890021100640297	0.32189252972602844	0.2159886658191681	0.2938634753227234	0.2881283164024353	0.22433988749980927	0.31224188208580017	0.28153032064437866	0.2484632432460785	
Non/colère/saine	0.6803779602050781	1.0	0.547079861164093	0.7639352679252625	0.6560744643211365	0.7309808731079102	0.7443147301673889	0.7695990800857544	0.23344458639621735	0.3002470135688782	0.5031169652938843	0.5639488697052002	0.5432130098342896	0.4914506673812866	0.541927695274353	0.09882308542728424	0.18244138360023499	0.6178204417228699	0.49759116768836975	0.013823822140693665	0.29978036880493164	0.3170285224914551	0.300601065158844	0.3211512863636017	0.25971537828445435	0.2885967791080475	0.30356860160827637	0.31746917963027954	0.2672591805458069	0.32925763726234436	0.3140539824962616	0.15100178122520447	0.3670600354671478	0.30137231945991516	0.29656654596328735	0.3430016338825226	0.2977391481399536	0.3580206334590912	0.3476763963699341	0.34237003326416016	
Non/colère/saine	0.5601814985275269	0.547079861164093	1.0	0.5662295818328857	0.558203935623169	0.5644354224205017	0.6161918640136719	0.5780143141746521	0.3035963773727417	0.41383999586105347	0.6812581419944763	0.6735716462135315	0.6876563429832458	0.5139728784561157	0.6376374363899231	0.38072067499160767	0.43801698088645935	0.5916401147842407	0.5902731418609619	0.3876098096370697	0.27536889910697937	0.30145934224128723	0.2680828869342804	0.2827290892601013	0.2744026780128479	0.28308242559432983	0.2574310004711151	0.2730722427368164	0.21981339156627655	0.29729199409484863	0.22690948843955994	0.15845106542110443	0.28020235896110535	0.20486855506896973	0.242751345038414	0.2643160820007324	0.2577238082885742	0.27408742904663086	0.26709678769111633	0.25813671946525574	
Non/colère/saine	0.8274226188659668	0.7639352679252625	0.5662295818328857	1.0	0.8282694816589355	0.8466589450836182	0.7790339589118958	0.884170651435852	0.2196805775165558	0.3776375949382782	0.5800096988677979	0.6289536952972412	0.5346772074699402	0.598016083240509	0.5882995128631592	0.1677311211824417	0.21769112348556519	0.6183217763900757	0.5925528407096863	0.10602875798940659	0.28800514340400696	0.30379581451416016	0.26772722601890564	0.31081634759902954	0.2539282739162445	0.2922324240207672	0.2660745680332184	0.3141944110393524	0.1857137382030487	0.2983790338039398	0.23763646185398102	0.08874361217021942	0.3138595223426819	0.22337786853313446	0.272201269865036	0.2814119756221771	0.2208983302116394	0.30667826533317566	0.28932610154151917	0.26072612404823303	
Non/colère/saine	0.7917296290397644	0.6560744643211365	0.558203935623169	0.8282694816589355	1.0	0.7540034055709839	0.650549590587616	0.7788476943969727	0.10467439144849777	0.33541178703308105	0.5641186833381653	0.6671976447105408	0.5379916429519653	0.6908962726593018	0.6147228479385376	0.15639737248420715	0.19475850462913513	0.5934240818023682	0.5957530736923218	0.16375945508480072	0.32191309332847595	0.3561710715293884	0.30615004897117615	0.3237709701061249	0.2805596590042114	0.3519967496395111	0.2918550670146942	0.34703710675239563	0.1636953502893448	0.32799381017684937	0.23056046664714813	0.09984449297189713	0.3272719383239746	0.19372111558914185	0.2727516293525696	0.28179851174354553	0.22621740400791168	0.3339037001132965	0.2704804837703705	0.2649056613445282	
Non/colère/saine	0.8302611708641052	0.7309808731079102	0.5644354224205017	0.8466589450836182	0.7540034055709839	1.0	0.7572464942932129	0.7766616344451904	0.208416149020195	0.3803417980670929	0.5931146740913391	0.6850494146347046	0.559532880783081	0.5960134863853455	0.6277333498001099	0.19633542001247406	0.2663542628288269	0.6522734761238098	0.6180393099784851	0.12223494052886963	0.31884121894836426	0.33405646681785583	0.2825603485107422	0.3349887728691101	0.28371936082839966	0.29520103335380554	0.3095477223396301	0.3419772684574127	0.2280813604593277	0.32946962118148804	0.2409723997116089	0.1201467290520668	0.3222077786922455	0.2489595264196396	0.2636908292770386	0.2968914806842804	0.24225519597530365	0.3031393587589264	0.3035503625869751	0.28436151146888733	
Non/colère/saine	0.7759020924568176	0.7443147301673889	0.6161918640136719	0.7790339589118958	0.650549590587616	0.7572464942932129	1.0	0.764614999294281	0.4293462038040161	0.4381817877292633	0.5885464549064636	0.6474429368972778	0.5555062890052795	0.4935912787914276	0.6007806062698364	0.20741459727287292	0.29895836114883423	0.5592443943023682	0.5271528363227844	0.16479162871837616	0.28300848603248596	0.2819056808948517	0.26110193133354187	0.2848600745201111	0.22283875942230225	0.2443966418504715	0.2558896541595459	0.2861020267009735	0.20900984108448029	0.289961040019989	0.24911895394325256	0.1356717348098755	0.30855709314346313	0.2263583242893219	0.2617449462413788	0.27135729789733887	0.2459886521100998	0.2683071792125702	0.2852112352848053	0.23977702856063843	
Non/colère/saine	0.7312056422233582	0.7695990800857544	0.5780143141746521	0.884170651435852	0.7788476943969727	0.7766616344451904	0.764614999294281	1.0	0.22009406983852386	0.3469720184803009	0.5097557306289673	0.5775029063224792	0.541557788848877	0.6015800833702087	0.5510991811752319	0.13378863036632538	0.19899678230285645	0.6279036998748779	0.5412150025367737	0.09199298918247223	0.3088720142841339	0.2946873903274536	0.28586697578430176	0.29140666127204895	0.2544703781604767	0.29103803634643555	0.2818377614021301	0.29016971588134766	0.22320985794067383	0.3087705075740814	0.26412323117256165	0.14404846727848053	0.3266121745109558	0.24612846970558167	0.26110419631004333	0.29379507899284363	0.2688715159893036	0.32646942138671875	0.3073320984840393	0.29351797699928284	
Non/colères/saines	0.19548742473125458	0.23344458639621735	0.3035963773727417	0.2196805775165558	0.10467439144849777	0.208416149020195	0.4293462038040161	0.22009406983852386	1.0	0.6269112229347229	0.17454905807971954	0.13685452938079834	0.14538806676864624	0.014271656982600689	0.094980888068676	0.5602294206619263	0.5324303507804871	0.19207064807415009	0.06367947906255722	0.5277028679847717	-0.04329019412398338	0.017593400552868843	0.0058923386968672276	-0.001855307724326849	0.01484566181898117	-0.05657009035348892	-0.028184521943330765	-0.023672735318541527	0.08689186722040176	-0.004375043790787458	-0.00563985388725996	0.13496072590351105	-0.09241991490125656	0.016406970098614693	0.01340792328119278	-0.06622068583965302	-0.06387188285589218	-0.11681623011827469	-0.06970614194869995	-0.10319789499044418	
Non/colères/saines	0.40089595317840576	0.3002470135688782	0.41383999586105347	0.3776375949382782	0.33541178703308105	0.3803417980670929	0.4381817877292633	0.3469720184803009	0.6269112229347229	1.0	0.34879404306411743	0.30372655391693115	0.26462212204933167	0.19379809498786926	0.26696476340293884	0.6120318174362183	0.5790426731109619	0.260173499584198	0.25360992550849915	0.6449055075645447	0.19892454147338867	0.21121522784233093	0.22684867680072784	0.17865364253520966	0.1987909972667694	0.1875719428062439	0.18744167685508728	0.12551717460155487	0.1974603831768036	0.19210216403007507	0.1481597125530243	0.29041600227355957	0.13076657056808472	0.19130797684192657	0.19548407196998596	0.10403943806886673	0.11684861034154892	0.10071707516908646	0.15938615798950195	0.11852094531059265	
Oui/vie/saine	0.7052539587020874	0.5031169652938843	0.6812581419944763	0.5800096988677979	0.5641186833381653	0.5931146740913391	0.5885464549064636	0.5097557306289673	0.17454905807971954	0.34879404306411743	1.0	0.7617315649986267	0.7403078079223633	0.5733586549758911	0.763556957244873	0.3131118714809418	0.3889956474304199	0.6108464002609253	0.7126202583312988	0.3124297857284546	0.31008073687553406	0.3237566649913788	0.2858305275440216	0.3185880780220032	0.26033085584640503	0.285774827003479	0.26539483666419983	0.31814923882484436	0.19502100348472595	0.3200412690639496	0.25186294317245483	0.059407129883766174	0.28610318899154663	0.19160035252571106	0.25152966380119324	0.2631395757198334	0.24707791209220886	0.29409414529800415	0.2620082199573517	0.2213398814201355	
Oui/personne/saine	0.7638496160507202	0.5639488697052002	0.6735716462135315	0.6289536952972412	0.6671976447105408	0.6850494146347046	0.6474429368972778	0.5775029063224792	0.13685452938079834	0.30372655391693115	0.7617315649986267	1.0	0.7653790712356567	0.6641119718551636	0.7640607357025146	0.31640055775642395	0.42885661125183105	0.718751847743988	0.7585922479629517	0.24045336246490479	0.2750486731529236	0.30594968795776367	0.25625863671302795	0.3085842430591583	0.2373485565185547	0.2489638328552246	0.24199551343917847	0.3034568130970001	0.17349840700626373	0.29179584980010986	0.2722228467464447	0.08626298606395721	0.33563703298568726	0.2131854146718979	0.2721925675868988	0.2855485677719116	0.24644817411899567	0.31634217500686646	0.2776170074939728	0.26366299390792847	
Oui/peau/saine	0.6160367727279663	0.5432130098342896	0.6876563429832458	0.5346772074699402	0.5379916429519653	0.559532880783081	0.5555062890052795	0.541557788848877	0.14538806676864624	0.26462212204933167	0.7403078079223633	0.7653790712356567	1.0	0.6264623999595642	0.750817596912384	0.34359586238861084	0.46017709374427795	0.7293679714202881	0.7012693285942078	0.29924148321151733	0.30612292885780334	0.3082742989063263	0.27851569652557373	0.295272558927536	0.2447122037410736	0.28742697834968567	0.25524386763572693	0.30015310645103455	0.2320999652147293	0.3189026415348053	0.2968621253967285	0.15974771976470947	0.34737706184387207	0.25232771039009094	0.27381446957588196	0.29156196117401123	0.28927794098854065	0.33090704679489136	0.3312148451805115	0.2994978427886963	
Oui/nourriture/saine	0.6064441204071045	0.4914506673812866	0.5139728784561157	0.598016083240509	0.6908962726593018	0.5960134863853455	0.4935912787914276	0.6015800833702087	0.014271656982600689	0.19379809498786926	0.5733586549758911	0.6641119718551636	0.6264623999595642	1.0	0.6118080019950867	0.16407479345798492	0.22807171940803528	0.6279374957084656	0.6234440207481384	0.14956367015838623	0.30884769558906555	0.3187420666217804	0.26863589882850647	0.2854889929294586	0.25165855884552	0.3142383098602295	0.25604328513145447	0.3127361238002777	0.14192599058151245	0.29088425636291504	0.21016335487365723	0.0959198847413063	0.3295528292655945	0.17543788254261017	0.22392545640468597	0.27343714237213135	0.2671586871147156	0.34716886281967163	0.2727469503879547	0.2682918906211853	
Oui/chair/saine	0.7233644127845764	0.541927695274353	0.6376374363899231	0.5882995128631592	0.6147228479385376	0.6277333498001099	0.6007806062698364	0.5510991811752319	0.094980888068676	0.26696476340293884	0.763556957244873	0.7640607357025146	0.750817596912384	0.6118080019950867	1.0	0.29511919617652893	0.36719465255737305	0.6945227980613708	0.7933304309844971	0.2415919452905655	0.34997957944869995	0.3519062399864197	0.3143039345741272	0.36661696434020996	0.30728211998939514	0.3366583585739136	0.3246268928050995	0.393106609582901	0.2383747100830078	0.38895124197006226	0.3058587908744812	0.10187532007694244	0.3458637297153473	0.23746837675571442	0.336382657289505	0.35132524371147156	0.26256489753723145	0.34436434507369995	0.3169191777706146	0.26956242322921753	
Oui/écorces/saines	0.21929866075515747	0.09882308542728424	0.38072067499160767	0.1677311211824417	0.15639737248420715	0.19633542001247406	0.20741459727287292	0.13378863036632538	0.5602294206619263	0.6120318174362183	0.3131118714809418	0.31640055775642395	0.34359586238861084	0.16407479345798492	0.29511919617652893	1.0	0.7968651056289673	0.38899776339530945	0.25001612305641174	0.7895842790603638	-0.05844150856137276	-0.05133327096700668	-0.02847251296043396	-0.05977404862642288	-0.01732509583234787	-0.05977658927440643	-0.07723935693502426	-0.05052315443754196	0.04974854364991188	-0.01961420103907585	0.023021243512630463	0.15293042361736298	-0.06595554202795029	-0.001764387357980013	0.022734053432941437	-0.05683019757270813	-0.06595230847597122	-0.09311147779226303	-0.058576758950948715	-0.09260224550962448	
Oui/dents/saines	0.26664936542510986	0.18244138360023499	0.43801698088645935	0.21769112348556519	0.19475850462913513	0.2663542628288269	0.29895836114883423	0.19899678230285645	0.5324303507804871	0.5790426731109619	0.3889956474304199	0.42885661125183105	0.46017709374427795	0.22807171940803528	0.36719465255737305	0.7968651056289673	1.0	0.40970808267593384	0.36218738555908203	0.7412914037704468	0.012104426510632038	0.035394277423620224	0.03228968381881714	0.01840132102370262	0.030870266258716583	0.0002610192750580609	0.003869381733238697	0.01272124145179987	0.11142470687627792	0.04675921052694321	0.11508394032716751	0.20710870623588562	0.03883109241724014	0.10062581300735474	0.10316776484251022	0.0524643175303936	0.019737886264920235	0.008485698141157627	0.04596231132745743	0.0072527374140918255	
Oui/bouche/saine	0.6566130518913269	0.6178204417228699	0.5916401147842407	0.6183217763900757	0.5934240818023682	0.6522734761238098	0.5592443943023682	0.6279036998748779	0.19207064807415009	0.260173499584198	0.6108464002609253	0.718751847743988	0.7293679714202881	0.6279374957084656	0.6945227980613708	0.38899776339530945	0.40970808267593384	1.0	0.6737120747566223	0.18212783336639404	0.2359982579946518	0.2786232829093933	0.23627632856369019	0.2632811367511749	0.2278999239206314	0.22557754814624786	0.2323417365550995	0.2761017382144928	0.23012670874595642	0.2794574499130249	0.25882187485694885	0.1279444694519043	0.2819617986679077	0.24640832841396332	0.22163055837154388	0.27650097012519836	0.23490755259990692	0.30394017696380615	0.27426958084106445	0.267147034406662	
Oui/jambe/saine	0.6830673217773438	0.49759116768836975	0.5902731418609619	0.5925528407096863	0.5957530736923218	0.6180393099784851	0.5271528363227844	0.5412150025367737	0.06367947906255722	0.25360992550849915	0.7126202583312988	0.7585922479629517	0.7012693285942078	0.6234440207481384	0.7933304309844971	0.25001612305641174	0.36218738555908203	0.6737120747566223	1.0	0.2209177017211914	0.3053487539291382	0.3166709542274475	0.255339652299881	0.3321511745452881	0.27025100588798523	0.3019416332244873	0.26767265796661377	0.34252065420150757	0.14266812801361084	0.3185563385486603	0.20725880563259125	0.018428359180688858	0.2972491383552551	0.16937147080898285	0.2498241364955902	0.24709075689315796	0.21141348779201508	0.3045770823955536	0.269818514585495	0.22362810373306274	
